testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 8.156, -134.674, 0.129, -3.122, -5.219, -0.060, 0.000, 5.220, 6.300, 632.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.595, -117.944, 0.129, -1.534, 0.250, -5.213, 0.000, 5.219, 6.400, 632.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 7.634, -134.681, 0.129, -3.124, -5.220, -0.055, 0.000, 5.220, 6.400, 632.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.575, -118.466, 0.129, -1.535, 0.172, -5.216, 0.000, 5.219, 6.500, 632.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 7.112, -134.686, 0.129, -3.127, -5.220, -0.034, 0.000, 5.221, 6.500, 632.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.559, -118.987, 0.129, -1.536, 0.161, -5.217, 0.000, 5.219, 6.600, 632.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 6.590, -134.690, 0.129, -3.129, -5.221, -0.029, 0.000, 5.221, 6.600, 632.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.545, -119.509, 0.129, -1.539, 0.106, -5.218, 0.000, 5.219, 6.700, 632.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 6.068, -134.703, 0.129, -3.124, -5.212, -0.198, 0.000, 5.216, 6.700, 632.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.534, -120.031, 0.129, -1.543, 0.097, -5.219, -0.000, 5.220, 6.800, 632.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 5.547, -134.723, 0.129, -3.117, -5.212, -0.226, 0.000, 5.217, 6.800, 632.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.515, -120.552, 0.129, -1.539, 0.237, -5.212, -0.000, 5.217, 6.900, 632.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 5.026, -134.739, 0.129, -3.116, -5.215, -0.153, 0.000, 5.218, 6.900, 632.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.492, -121.074, 0.129, -1.535, 0.259, -5.212, -0.000, 5.218, 7.000, 632.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 4.504, -134.753, 0.129, -3.116, -5.217, -0.109, 0.000, 5.218, 7.000, 632.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.472, -121.595, 0.129, -1.534, 0.181, -5.215, -0.000, 5.218, 7.100, 632.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 3.982, -134.763, 0.129, -3.118, -5.218, -0.091, -0.000, 5.219, 7.100, 632.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.455, -122.117, 0.129, -1.536, 0.128, -5.217, 0.000, 5.218, 7.200, 632.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 3.460, -134.772, 0.129, -3.120, -5.219, -0.066, -0.000, 5.219, 7.200, 632.977, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.443, -122.638, 0.129, -1.540, 0.106, -5.218, -0.000, 5.219, 7.300, 633.077, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 2.939, -134.778, 0.129, -3.123, -5.219, -0.054, -0.000, 5.220, 7.300, 633.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.436, -123.160, 0.129, -1.547, -0.105, -5.204, -0.000, 5.205, 7.400, 633.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 2.417, -134.784, 0.129, -3.126, -5.220, -0.038, -0.000, 5.220, 7.400, 633.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.456, -123.679, 0.129, -1.568, -0.325, -5.191, -0.000, 5.201, 7.500, 633.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 1.895, -134.788, 0.129, -3.128, -5.220, -0.030, -0.000, 5.220, 7.500, 633.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.489, -124.198, 0.129, -1.590, -0.532, -5.168, -0.000, 5.195, 7.600, 633.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 1.373, -134.795, 0.129, -3.127, -5.214, -0.150, -0.000, 5.216, 7.600, 633.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.542, -124.714, 0.129, -1.617, -0.665, -5.160, 0.000, 5.203, 7.700, 633.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 0.852, -134.813, 0.129, -3.121, -5.212, -0.213, -0.000, 5.216, 7.700, 633.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.611, -125.229, 0.129, -1.645, -0.834, -5.139, 0.000, 5.206, 7.800, 633.577, 0.000
