testNo, repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.569, -72.905, 0.935, -1.692, -0.182, -1.489, 0.000, 1.500, 7.000, 985.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -9.427, -24.400, 0.129, -0.874, 2.703, -4.347, -0.000, 5.119, 7.100, 985.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.586, -73.054, 0.934, -1.691, -0.180, -1.489, 0.000, 1.500, 7.100, 985.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -9.175, -24.838, 0.129, -0.933, 2.163, -4.600, -0.003, 5.083, 7.200, 985.304, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.604, -73.203, 0.934, -1.690, -0.179, -1.489, 0.000, 1.500, 7.200, 985.304, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -8.955, -25.296, 0.129, -0.992, 1.977, -4.738, 0.002, 5.134, 7.300, 985.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.621, -73.352, 0.934, -1.689, -0.178, -1.489, 0.000, 1.500, 7.300, 985.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -8.759, -25.768, 0.129, -1.051, 1.689, -4.874, 0.000, 5.158, 7.400, 985.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.639, -73.501, 0.933, -1.689, -0.177, -1.489, 0.000, 1.500, 7.400, 985.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -8.586, -26.252, 0.129, -1.108, 1.418, -4.977, -0.000, 5.176, 7.500, 985.604, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.657, -73.650, 0.933, -1.689, -0.177, -1.490, 0.000, 1.500, 7.500, 985.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -8.439, -26.747, 0.129, -1.163, 1.230, -5.059, -0.000, 5.206, 7.600, 985.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.674, -73.799, 0.933, -1.689, -0.177, -1.490, 0.000, 1.500, 7.600, 985.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -8.307, -27.250, 0.129, -1.211, 1.141, -5.107, -0.000, 5.233, 7.700, 985.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.691, -73.948, 0.932, -1.686, -0.174, -1.490, 0.000, 1.500, 7.700, 985.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -8.184, -27.758, 0.129, -1.250, 1.080, -5.135, -0.000, 5.247, 7.800, 985.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.708, -74.097, 0.932, -1.684, -0.171, -1.490, 0.000, 1.500, 7.800, 985.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -8.075, -28.270, 0.129, -1.286, 0.908, -5.163, -0.000, 5.243, 7.900, 986.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.724, -74.246, 0.932, -1.683, -0.170, -1.490, 0.000, 1.500, 7.900, 986.004, 0.000
